	player_id	player_year	player_team	player_AVG	player_G	player_PA	player_AB	player_R	player_H	player_2B	player_3B	player_HR	player_TB	player_RBI	player_SB	player_CS	player_BB	player_HBP	player_SO	player_GDP	player_SLG	player_OBP	player_E
1573	61895	2020	SK	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1581	73801	2020	LG	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1583	69159	2020	LG	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1585	61295	2020	NC	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1592	75867	2020	NC	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1594	66928	2020	NC	0	2	5	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1595	69995	2020	NC	0	2	8	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1600	65062	2020	KT	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1601	50600	2020	KIA	-	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1611	76158	2020	ÇÑÈ­	0.333	2	4	3	1	1	0	0	0	1	1	0	0	0	1	2	0	0.333	0.5	0
