,player_id ,player_year ,player_team,player_ERA,player_G,player_CG,player_SHO,player_W,player_L,player_SV,player_HLD,player_WPCT,player_TBF,player_IP,player_H,player_HR,player_BB,player_HBP,player_SO,player_R,player_ER
1191,68616,2020,KIA,9.00,1,0,0,0,0,0,0,-,5,1,1,0,2,0,0,1,1
1192,62908,2020,KIA,0.00,1,0,0,0,0,0,0,-,1,1/3,0,0,0,0,0,0,0
1207,74454,2020,삼성,27.00,1,0,0,0,1,0,0,0.000,14,2,8,0,3,0,0,6,6
1208,50464,2020,삼성,9.64,1,0,0,0,1,0,0,0.000,25,4 2/3,6,1,7,0,3,5,5
1209,63492,2020,삼성,54.00,1,0,0,0,0,0,0,-,3,1/3,2,2,0,0,1,2,2
1210,50441,2020,삼성,54.00,1,0,0,0,0,0,0,-,16,1 1/3,8,1,4,0,3,8,8
1211,69737,2020,한화,18.00,1,0,0,0,0,0,0,-,5,1,1,1,0,1,0,2,2
1212,50726,2020,한화,16.20,1,0,0,0,0,0,0,-,10,1 2/3,3,1,2,0,2,3,3
1216,76225,2020,롯데,0.00,1,0,0,0,0,0,0,-,4,1,1,0,0,0,1,0,0
1218,68529,2020,롯데,0.00,1,0,0,0,0,0,0,-,10,2 1/3,1,0,1,0,1,3,0
1222,62595,2020,롯데,21.60,1,0,0,0,0,0,0,-,11,1 2/3,4,1,2,0,1,4,4
